,title,max_players,genres,publisher,sales_metric,price,review_raiting,console,age_raiting,year
915,NBA 2K9,7,Sports,2K,0.58,14.95,82,PlayStation 3,E,2008
916,Major League Baseball 2K9,1,Sports,2K,0.58,14.95,64,X360,E,2008
917,NCAA Football 09,4,Sports,EA,0.56,14.95,81,PlayStation 3,E,2008
918,Kung Fu Panda,1,Action,Activision,0.56,17.95,71,Nintendo DS,E,2008
919,Devil May Cry 4,1,Action,Capcom,0.56,19.95,84,PlayStation 3,T,2008
920,Tom Clancy's EndWar,1,Strategy,Ubisoft,0.56,16.95,77,X360,E,2008
921,LEGO Batman: The Videogame,1,Action,,0.54,17.95,73,Sony PSP,M,2008
922,BioShock,1,Action,2K,0.53,17.95,94,PlayStation 3,E,2008
923,Bully: Scholarship Edition,1,"Action,Adventure",Rockstar,0.53,17.95,80,X360,T,2008
924,Prince of Persia,1,Action,Ubisoft,0.53,16.95,81,X360,T,2008
925,Kung Fu Panda,4,Action,Activision,0.52,16.95,70,Nintendo Wii,E,2008
926,Sonic Chronicles: The Dark Brotherhood,1,"Action,Role-Playing (RPG)",Sega,0.52,17.95,74,Nintendo DS,E,2008
927,Chrono Trigger,2,Role-Playing (RPG),SquareEnix,0.51,17.95,92,Nintendo DS,T,2008
928,Tomb Raider: Underworld,1,Action,Eidos,0.51,17.95,76,X360,E,2008
929,skate it,4,"Action,Sports",EA,0.5,39.95,70,Nintendo Wii,T,2008
930,The Legendary Starfy,1,"Action,Adventure",Nintendo,0.5,24.95,75,Nintendo DS,E,2008
931,Mirror's Edge,1,Action,EA,0.5,14.95,79,X360,T,2008
932,Haze,2,Action,Ubisoft,0.49,12.95,55,PlayStation 3,T,2008
933,Dissidia: Final Fantasy,1,"Action,Role-Playing (RPG)",SquareEnix,0.49,17.95,79,Sony PSP,T,2008
934,Sid Meier's Civilization: Revolution,1,Strategy,2K,0.49,24.95,84,X360,T,2008
935,Wall-E,4,Action,THQ,0.48,17.95,51,Nintendo Wii,E,2008
936,Prince of Persia,1,Action,Ubisoft,0.48,17.95,85,PlayStation 3,T,2008
937,NHL 09 ,1,Sports,EA,0.48,14.95,88,X360,E,2008
938,Brothers in Arms: Hell's Highway,1,Action,Ubisoft,0.47,17.95,76,X360,E,2008
939,Shaun White Snowboarding,1,Sports,Ubisoft,0.47,14.95,60,X360,T,2008
940,Turok,1,Action,,0.47,14.95,69,X360,E,2008
941,Iron Man,1,Action,Sega,0.46,16.95,44,Sony PSP,E,2008
942,De Blob,4,Action,THQ,0.45,16.95,82,Nintendo Wii,M,2008
943,Sonic Riders: Zero Gravity,4,Racing / Driving,Sega,0.45,16.95,56,Nintendo Wii,T,2008
944,Rhythm Heaven,1,Action,Nintendo,0.45,24.95,83,Nintendo DS,T,2008
945,Tomb Raider: Underworld,1,Action,Eidos,0.44,17.95,75,PlayStation 3,T,2008
946,Advance Wars: Days of Ruin,4,Strategy,Nintendo,0.43,17.95,86,Nintendo DS,E,2008
947,LEGO Batman: The Videogame,2,Action,,0.43,17.95,75,PlayStation 3,E,2008
948,Far Cry 2,1,Action,Ubisoft,0.43,19.95,85,PlayStation 3,T,2008
949,Harvest Moon: Island of Happiness,1,"Simulation,Strategy",,0.42,24.95,65,Nintendo DS,E,2008
950,Brothers in Arms: Hell's Highway,1,Action,Ubisoft,0.42,19.95,76,PlayStation 3,T,2008
951,Sonic Unleashed,1,"Action,Adventure",Sega,0.42,17.95,54,PlayStation 3,T,2008
952,Pinball Hall of Fame: The Williams Collection,1,Simulation,,0.41,17.95,82,Nintendo Wii,T,2008
953,Sonic Unleashed,1,"Action,Adventure",Sega,0.41,17.95,60,X360,E,2008
954,Samba de Amigo,2,Action,Sega,0.4,12.95,68,Nintendo Wii,T,2008
955,?kami,1,Action,Capcom,0.39,17.95,90,Nintendo Wii,M,2008
956,LEGO Indiana Jones: The Original Adventures,2,Action,,0.38,17.95,77,PlayStation 3,E,2008
957,MotorStorm: Pacific Rift,4,"Action,Racing / Driving,Sports",Sony,0.37,29.95,82,PlayStation 3,T,2008
958,Tiger Woods PGA Tour 09,4,Sports,EA,0.37,19.95,84,X360,E,2008
959,SimCity Creator,1,Simulation,EA,0.37,24.95,67,Nintendo Wii,E,2008
960,Tiger Woods PGA Tour 09,4,Sports,EA,0.36,19.95,82,PlayStation 3,E,2008
961,Sid Meier's Civilization: Revolution,1,"Simulation,Strategy",2K,0.36,17.95,80,Nintendo DS,M,2008
962,Pure,1,"Racing / Driving,Sports",Disney,0.36,17.95,83,PlayStation 3,M,2008
963,Turok,1,Action,,0.36,16.95,67,PlayStation 3,M,2008
964,Crash: Mind over Mutant,1,Action,,0.36,17.95,70,Nintendo Wii,E,2008
965,Spider-Man: Web of Shadows,1,Action,Activision,0.36,19.95,68,X360,E,2008
966,Frontlines: Fuel of War,1,Action,THQ,0.35,14.95,75,X360,M,2008
967,GRID,1,"Racing / Driving,Simulation,Sports",,0.35,19.95,87,X360,E,2008
968,Too Human,1,"Action,Role-Playing (RPG)",Microsoft,0.35,14.95,65,X360,T,2008
969,Speed Racer: The Videogame,2,Racing / Driving,,0.34,16.95,69,Nintendo Wii,M,2008
970,LEGO Indiana Jones: The Original Adventures,1,Action,,0.34,17.95,76,Sony PSP,E,2008
971,SEGA Bass Fishing,1,Sports,Sega,0.34,17.95,59,Nintendo Wii,E,2008
972,The Chronicles of Narnia: Prince Caspian,2,"Action,Role-Playing (RPG)",Disney,0.33,16.95,63,Nintendo Wii,M,2008
973,Iron Man,1,Action,Sega,0.33,14.95,56,Nintendo DS,M,2008
974,The Sims 2: Apartment Pets,1,Simulation,EA,0.33,17.95,50,Nintendo DS,M,2008
975,MLB 08: The Show,1,Sports,Sony,0.33,14.95,83,Sony PSP,M,2008
976,Iron Man,1,Action,Sega,0.33,17.95,42,PlayStation 3,T,2008
